itemID,name_food,link_food,link_image_food,avg_rating
16,Greek Pastitsio,https://www.food.com/recipe/greek-pastitsio-100793,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/07/93/B1yufS86TEiC7PcziTdA_0S9A3940.jpg",4.93
17,"Fish Tacos and Cilantro Coleslaw, 20 Minutes Max",https://www.food.com/recipe/fish-tacos-and-cilantro-coleslaw-20-minutes-max-100798,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/07/98/iKrIl3cYSVGXVkK5zQ8Q_TACO2%20(1%20of%201).jpg",4.68
18,Lemon Poppy Seed Muffins,https://www.food.com/recipe/lemon-poppy-seed-muffins-100943,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/09/43/J7ofOLadQcq6VDriLV0S_lemonpoppymuffins.jpg",4.58
19,Raspberry Filled Almond Shortbread with Almond Glaze,https://www.food.com/recipe/raspberry-filled-almond-shortbread-with-almond-glaze-10096,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/09/6/8yspmQYpTkDBPZ7jUTl1_almond%20cookies.JPG",4.65
20,Peppermint Patties,https://www.food.com/recipe/peppermint-patties-101027,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/10/27/picEHonmy.jpg",4.74
21,Lisa's Swirled Chocolate Chip Cookies,https://www.food.com/recipe/lisas-swirled-chocolate-chip-cookies-101041,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/51/59/52/TSum5TciQdCCuccGjUYE_picfS8u1Z.jpg",4.85
22,Steel Cut Oatmeal for the Crock Pot,https://www.food.com/recipe/steel-cut-oatmeal-for-the-crock-pot-101101,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/11/01/pictTUQ9l.jpg",4.29
23,Libby's Famous Pumpkin Pie,https://www.food.com/recipe/libbys-famous-pumpkin-pie-101104,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/11/04/nsvR2MNXRemcZINuNDaB_0S9A2289.jpg",4.85
24,Best Ever Chocolate Chip Cookies,https://www.food.com/recipe/best-ever-chocolate-chip-cookies-10117,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/11/7/picgLbMu1.jpg",4.5
25,Soft Batch Oatmeal Raisin Cookies,https://www.food.com/recipe/soft-batch-oatmeal-raisin-cookies-10123,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/12/3/picxofFpM.jpg",4.8
26,Soft Batch Chocolate Chip Cookies,https://www.food.com/recipe/soft-batch-chocolate-chip-cookies-10125,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/12/5/7HQ3E4lCQA6E5JoTOWZR_SBC%204%20-%20final_2.jpg",4.62
27,Banana Bread 1,https://www.food.com/recipe/banana-bread-10131,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/13/1/picVVoQsx.jpg",4.64
28,Creamy Beef Stroganoff Over Rice,https://www.food.com/recipe/ground-beef-stroganoff-10146,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/14/6/picqBt5VD.jpg",3.95
29,Crusty French Bread,https://www.food.com/recipe/crusty-french-bread-101476,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/14/76/T9kb9tQwRqOsl5fVXPzW_newsize-2.jpg",4.71
30,Falafel,https://www.food.com/recipe/falafel-101525,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/15/25/0nDDrWSYKdsqxAfpbd7w_falafel2.jpg",4.45
31,Flour Tortillas Diaz,https://www.food.com/recipe/flour-tortillas-diaz-101601,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/16/01/picHP9i6O.jpg",4.38
32,Bisquick Chocolate Chip Bars,https://www.food.com/recipe/bisquick-chocolate-chip-bars-101657,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/16/57/01489888982.jpeg",4.32
33,Utterly Deadly Southern Pecan Pie,https://www.food.com/recipe/utterly-deadly-southern-pecan-pie-101954,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/19/54/FYx9Lmi6QLyORe9WIxDv_galetteIG.jpg",4.65
34,Quick and Easy No Bake Chocolate Cookies,https://www.food.com/recipe/quick-and-easy-no-bake-chocolate-cookies-10205,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/20/5/pic1VoZN2.jpg",4.91
35,Opal's Pumpkin Pie,https://www.food.com/recipe/opals-pumpkin-pie-102073,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/20/73/PThvRF5vSnexoTumplCw_pumpkin-pie-1.jpg",4.7
36,White Bean & Tuna Salad,https://www.food.com/recipe/white-bean-tuna-salad-102111,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/21/11/Hazdft7gStWtV3PV8g7E_bean%20salad%201%20(1%20of%201).jpg",4.76
37,Maple-Glazed Salmon,https://www.food.com/recipe/maple-glazed-salmon-102139,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/21/39/DVWNJVAQTYaOr5FzjsOV_8pmAIC8TStad13TW12NA_SalmonShrimp3.jpg",4.47
38,Roasted Cauliflower,https://www.food.com/recipe/roasted-cauliflower-102194,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/21/94/oS0OBS2pQCGKUoHMo7e0_Roasted%20Cauliflower.JPG",4.65
39,Moist and Tender Turkey (Or Turkey Breast),https://www.food.com/recipe/moist-and-tender-turkey-or-turkey-breast-102335,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/23/35/picOWNhQt.jpg",4.76
40,Pasta Fazool (Pasta and Beans With Sausage),https://www.food.com/recipe/pasta-fazool-pasta-and-beans-with-sausage-102506,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/25/06/picJbgyOv.jpg",4.43
41,Mushrooms and Onions for Steak,https://www.food.com/recipe/mushrooms-and-onions-for-steak-102524,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/25/24/ywnIfxa1STS9E6gPRKY8_0S9A8238.jpg",4.74
42,Kittencal's Famous Coleslaw,https://www.food.com/recipe/kittencals-famous-coleslaw-102617,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/26/17/cYrCmcd1RjOC5HIkAz9d_homemade-coleslaw-1.jpg",4.91
43,Lentil and Brown Rice Soup,https://www.food.com/recipe/lentil-and-brown-rice-soup-102620,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/26/20/picvDloBv.jpg",4.68
44,Best Low Carb Bread (Bread Machine),https://www.food.com/recipe/best-low-carb-bread-bread-machine-102631,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/26/31/picuwxky8.jpg",4.8
45,Bacon Parmesan Brussels Sprouts,https://www.food.com/recipe/bacon-parmesan-brussels-sprouts-102677,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/26/77/wZbUE1y6S1GA4TFtVm1a_Sprouts%203.jpg",4.62
46,Peanut Butter Cookies 2,https://www.food.com/recipe/peanut-butter-cookies-10269,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/26/9/vjcU2ElJQ1OownokVBCt_c6.jpg",4.78
47,"Just Like Lambert's ""throwed"" Rolls - Copycat",https://www.food.com/recipe/just-like-lamberts-quot-throwed-quot-rolls-copycat-102734,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/27/34/picAnhhP7.jpg",4.81
48,Meatball Subs (Crock Pot),https://www.food.com/recipe/meatball-subs-crock-pot-102843,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/28/43/qsBthEgxS16jwNCJ2aUS_crockpot-meatball-sandwiches-9.jpg",4.64
49,Simple Fried Egg Sandwich,https://www.food.com/recipe/simple-fried-egg-sandwich-102909,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/29/09/L1geElbTGyRUnmacXaFQ_IMG_4313.JPG",4.78
50,Christmas Scent,https://www.food.com/recipe/christmas-scent-102950,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/29/50/wodHoDpSQr6X8HNC8mCf_DSC_0224.JPG",4.67
51,The Last Peanut Butter Cookies Recipe You'll Ever Try,https://www.food.com/recipe/the-last-peanut-butter-cookies-recipe-youll-ever-try-103085,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/30/85/picmYB91k.jpg",4.65
52,Artichoke Bruschetta,https://www.food.com/recipe/artichoke-bruschetta-103152,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/31/52/picKWbpEr.jpg",4.78
53,Panda Express Orange Chicken,https://www.food.com/recipe/panda-express-orange-chicken-103215,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/32/15/W6FoUgXyRnaFTQjc1Nkw_0S9A2630.jpg",4.53
54,Chow Gai Lan (Jade Green Broccoli),https://www.food.com/recipe/chow-gai-lan-jade-green-broccoli-103243,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/32/43/02ZCqnWoT36LRJgy8S0V_FDN_Chow-Gai-Lan-Jade-Green-Broccoli_H3.jpg",4.7
55,Hershey's Best Brownies,https://www.food.com/recipe/hersheys-best-brownies-10326,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/32/6/W1FYohsKTUiFjW7DyybL_brownies-2.jpg",4.63
56,White Machine Bread,https://www.food.com/recipe/white-machine-bread-10331,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/33/1/picQCIJZV.jpg",4.75
57,Glazed Carrots,https://www.food.com/recipe/glazed-carrots-103328,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/33/28/H6PezbaQaWVvGpWtk5VF_carrots SITE-3.jpg",4.92
58,French Dip Roast Beef for the Crock Pot,https://www.food.com/recipe/french-dip-roast-beef-for-the-crock-pot-103403,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/34/03/bx8vxezbSuSd8yYMV1bz_FDRB%206%20final%20-%20french%20dip%20roast%20beef.jpg",4.71
59,Puppy Chow Snack Mix,https://www.food.com/recipe/puppy-chow-snack-mix-1035,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/35/piclWBN6c.jpg",4.86
60,Crock Pot Black Bean Salsa Chicken (Oamc),https://www.food.com/recipe/crock-pot-black-bean-salsa-chicken-oamc-103572,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/35/72/OOxj4L52ScGIvbrLMC1H_0S9A3378.jpg",4.27
61,Monkey bread,https://www.food.com/recipe/monkey-bread-10358,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/35/8/P436vULSyC6OvazRrhBg_monkeybread SITE-3.jpg",4.64
62,Cheesy Ham Chowder,https://www.food.com/recipe/cheesy-ham-chowder-103679,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/36/79/picIcFyv6.jpg",4.83
63,Mocha Brownies With Coffee Frosting,https://www.food.com/recipe/mocha-brownies-with-coffee-frosting-103762,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/37/62/picdXnGQ7.jpg",4.8
64,Leftover Roast Beef Soup (Leftover Steak Too!),https://www.food.com/recipe/leftover-roast-beef-soup-leftover-steak-too-103799,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/37/99/picQzp8H3.jpg",4.59
65,"1,2,3,4, Tater Tot Casserole",https://www.food.com/recipe/1-2-3-4-tater-tot-casserole-103811,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/38/11/i3DqbP0QQQO1j1jWoIi6_IMG_0386.JPG",4.12
66,Foam Soap Refill,https://www.food.com/recipe/foam-soap-refill-103893,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/38/93/picCG3UIA.jpg",4.76
67,Low Carb Mexi Baked Chicken,https://www.food.com/recipe/low-carb-mexi-baked-chicken-103966,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/39/66/RQt7uaVFSWqY8n2JCqJg_Low-carb-chicken.jpg",4.7
68,Refrigerator Pickles,https://www.food.com/recipe/refrigerator-pickles-10404,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/40/4/picF7F5mn.jpg",4.45
69,"EASY! Penne with chicken, spinach and tomato Alfredo (soooo good!)",https://www.food.com/recipe/easy-penne-with-chicken-spinach-and-tomato-alfredo-soooo-good-10406,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/40/6/pic1gQy2i.jpg",4.5
70,The Best Chicken Tortilla Soup,https://www.food.com/recipe/the-best-chicken-tortilla-soup-104086,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/40/86/Tqqs8OHMQNyu6ms59cUU-The-Best-Chicken-Tortilla-Soup---104086-1.JPG",4.82
71,Sweet Potato (Yam) Casserole With Marshmallows,https://www.food.com/recipe/sweet-potato-yam-casserole-with-marshmallows-104150,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/41/50/U9yyRDbDSZ0bifRYVFTj_untitled-8975.jpg",4.8
72,Crock Pot Cheeseburgers,https://www.food.com/recipe/crock-pot-cheeseburgers-104171,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/41/71/picd9O2iM.jpg",4.38
73,Balsamic Chicken,https://www.food.com/recipe/balsamic-chicken-10422,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/42/2/01497487918.jpeg",4.51
74,Microwave Poached Egg on Toast,https://www.food.com/recipe/microwave-poached-egg-on-toast-104248,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/42/48/MQvJowSS0KyrA2Y8roQg_IMG_20230308_095217.jpg",4.5
75,Hamburgers,https://www.food.com/recipe/hamburgers-10428,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/42/8/or7l9WxFSt7AAiyEsv73_HB%205%20-%20final_3.jpg",4.59
76,Cheese Enchilada Stack,https://www.food.com/recipe/cheese-enchilada-stack-104312,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/43/12/picGj7jOB.jpg",4.69
77,Crustless Low Carb Pumpkin Pie,https://www.food.com/recipe/crustless-low-carb-pumpkin-pie-104352,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/43/52/picqqdVuJ.jpg",4.36
78,No Dough Meat Crust Pizza for the Low Carb Dieter,https://www.food.com/recipe/no-dough-meat-crust-pizza-for-the-low-carb-dieter-104354,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/43/54/eWKVeKeiTq2o1v9zCpBU_keto pizza SITE-2.jpg",4.85
79,Soft Italian Breadsticks (Abm),https://www.food.com/recipe/soft-italian-breadsticks-abm-104628,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/46/28/pichA30zf.jpg",4.82
80,Gwen's Butter Rich Dinner Rolls,https://www.food.com/recipe/gwens-butter-rich-dinner-rolls-104703,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/47/03/WVtIFbO8QNGXedM7WmPc_Dinner%20Rolls%20Butter%20Rich.JPG",4.67
81,Beefy Refried Bean Soup,https://www.food.com/recipe/beefy-refried-bean-soup-104715,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/47/15/picrbxHH3.jpg",4.46
82,20 Minute Creamy Pesto Chicken and Bow Ties,https://www.food.com/recipe/20-minute-creamy-pesto-chicken-and-bow-ties-104732,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/47/32/kiAfi71rQs60QCuSrY5c_image.jpg",4.46
83,Marvelous Broccoli Salad!,https://www.food.com/recipe/marvelous-broccoli-salad-10481,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/48/1/picMTewLK.jpg",4.85
84,Anginetti (Italian Lemon Drop Cookies),https://www.food.com/recipe/anginetti-italian-lemon-drop-cookies-104852,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/48/52/SSVKOfMRAmd5TDDkL7A1_0S9A6114.jpg",4.62
85,Perfect Roast Turkey,https://www.food.com/recipe/perfect-roast-turkey-104958,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/49/58/a8TkGekATSWL8lorYEpg_perfect-roast-turkey-2121.jpg",4.73
86,"Easy, Festive Chocolate Holiday Pretzels",https://www.food.com/recipe/easy-festive-chocolate-holiday-pretzels-104975,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/49/75/5Tw3vM0RBqYvkX7ioFZM_IMG_6538-chocolate-holiday-pretzels.jpg",4.89
87,Buttermilk Biscuit Monkey Bread,https://www.food.com/recipe/monkey-bread-10499,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/49/9/QQTgvkgGRPSZwXlVO5BQ_food.com-25.jpg",4.65
88,No Cheese-Whiz Broccoli Rice Casserole,https://www.food.com/recipe/no-cheese-whiz-broccoli-rice-casserole-105080,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/50/80/e17jrI5qSM6tYheI55pV_broccolicasserole3.jpg",4.58
89,Dry Rub Pork Ribs,https://www.food.com/recipe/dry-rub-pork-ribs-105102,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/51/02/picg6uNXU.jpg",4.85
90,"Chicken, Rice, and Spices Bake",https://www.food.com/recipe/chicken-rice-and-spices-bake-105104,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/51/04/Uy5dYpWNRq2wF67V3wpC_curry-chicken-basamati-rice-casserole-9303.jpg",4.61
91,Calzones,https://www.food.com/recipe/calzones-10511,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/51/1/DOOuRX0RLCEyWvleZhNM_0289982_FoodObsessions700_GingerbreadManCalzone_4x3_v3_H.jpg",5.0
92,Ex-Mother in Law's Pork Chops With Cream of Mushroom,https://www.food.com/recipe/ex-mother-in-laws-pork-chops-with-cream-of-mushroom-105260,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/52/60/piczwh994.jpg",4.77
93,Creamed Spinach (Like Boston Market),https://www.food.com/recipe/creamed-spinach-like-boston-market-105281,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/52/81/01467678123.jpeg",4.62
94,Fried Mushrooms,https://www.food.com/recipe/fried-mushrooms-105573,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/55/73/c33c4lDSYa9Hjmh19h5w_20210519_174709.jpg",4.74
95,Mom's Chocolate Cupcakes,https://www.food.com/recipe/moms-chocolate-cupcakes-105594,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/55/94/tiJU1N8BR1uVCDtzWAF0_MCC%209%20-%20final_5.jpg",4.45
96,Bacon-Wrapped Jalapeno Poppers,https://www.food.com/recipe/bacon-wrapped-jalapeno-poppers-105670,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/56/70/T732azPRraFVJwUzq3gy_jalapenopoppers2.jpg",4.83
97,Kittencal's Parmesan Garlic Bread or Garlic Toast,https://www.food.com/recipe/kittencals-parmesan-garlic-bread-or-garlic-toast-105726,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/57/26/cbikDd9iQlaNV6Z5C4QI_Kittencal%27s Parmesan Garlic Bread or Garlic Toast_0165.JPG",4.81
98,No-Beat Popovers,https://www.food.com/recipe/no-beat-popovers-105830,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/58/30/qLtgm2LEQESYga8ghdsv_20140603_002434_HDR.jpg",4.42
99,Award Winning Chili,https://www.food.com/recipe/award-winning-chili-105865,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/58/65/G9Ez7rFmQOmtdHERTPgK_AWC%204%20-%20final_2.png",4.71
100,Thanksgiving Pumpkin Pie (Uses Fresh Pumpkin),https://www.food.com/recipe/thanksgiving-pumpkin-pie-uses-fresh-pumpkin-105977,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/59/77/xAuA7IItRL2IM5ybbvgF_0S9A3362.jpg",5.0
101,Taco Bell Taco Seasoning Clone/Copycat,https://www.food.com/recipe/taco-bell-taco-seasoning-clone-copycat-105993,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/59/93/piccBv06e.jpg",4.85
102,Sore-and-strep-throat-away Gargle,https://www.food.com/recipe/sore-and-strep-throat-away-gargle-106056,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/60/56/picQIWcQW.jpg",4.65
103,Refried Beans,https://www.food.com/recipe/refried-beans-10614,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/61/4/pDvBLKwUTOSf2TMWYiQW_DSC_3788.jpg",4.65
